book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,H_KH,0.11527777777777781,-0.0011788034188034183,0.11645658119658123,-97.79219837587014,0.021166984737239623,5.50180305046926,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,H_KH,0.09619980290712005,-0.0014683451778573736,0.09766814808497742,-65.51579584815059,0.02772401327194928,3.522871927918045,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,H_KH,-0.01222352719663633,0.0008454464450894173,-0.013068973641725747,-14.458073917790887,0.018433350562550792,-0.7089852491753009,0.7808764940239044,0.22310756972111553,0.44621513944223107
genesis,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,H_KH,0.011698797396429336,0.000822718824175688,0.010876078572253648,14.219678768321348,0.0005894509101645559,18.451203288866573,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,H_KH,0.19249598116890576,0.04671991413150114,0.14577606703740462,4.120212649087777,0.01777406283437869,8.201617626525081,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,H_KH,0.11527777777777781,0.001367179487179488,0.11391059829059832,84.31795448862214,0.021172413587365782,5.380142316819855,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,H_KH,0.09619980290712005,0.003619951105804762,0.09257985180131528,26.574890128449287,0.025587407970110967,3.6181801575782586,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,H_KH,-0.01222352719663633,0.0005690565903924121,-0.012792583787028742,-21.480336759138815,0.018067687032646104,-0.7080366050128113,0.7569721115537849,0.24701195219123506,0.4940239043824701
genesis,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,H_KH,0.011698797396429336,0.0006361696789520413,0.011062627717477295,18.389429398302507,0.0004566435568349714,24.225958194074053,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,H_KH,0.19249598116890576,0.040455277076604804,0.15204070409230097,4.758241571412342,0.015756248920167113,9.649549512872788,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,H_KH,0.05245726495726494,-0.00010572649572649718,0.05256299145299143,-496.160064672588,0.010993577934258937,4.781245174893522,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,H_KH,0.03647426421816666,-0.0005536200655712852,0.03702788428373794,-65.88320490249673,0.013538058553350989,2.7350955927556293,0.00796812749003984,0.9960159362549801,0.01593625498007968
genesis,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,250,segment,raw,H_KH,-0.01024408009872485,0.00014757129845314253,-0.010391651397177994,-69.41783535216094,0.009152311876170133,-1.1354127282566417,0.8645418326693227,0.1394422310756972,0.2788844621513944
genesis,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,250,segment,raw,H_KH,0.008255997906518925,0.0004871955978704859,0.007768802308648439,16.94596162733323,0.00033817029187990674,22.97304788502045,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,250,segment,raw,H_KH,0.10182448307233016,0.022530458070169467,0.07929402500216069,4.519414685454031,0.00832442186681458,9.525469308357303,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,250,segment,raw,H_KH,0.05245726495726494,0.0003697435897435875,0.05208752136752135,141.87471104946914,0.010736405244526449,4.8514861521342265,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,250,segment,raw,H_KH,0.03647426421816666,0.0015887014611404837,0.03488556275702617,22.958538850957446,0.013423536394151706,2.598835488107659,0.01593625498007968,0.9880478087649402,0.03187250996015936
genesis,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,250,segment,raw,H_KH,-0.01024408009872485,0.0002513831122863548,-0.010495463211011205,-40.75086828846181,0.009018971336651567,-1.1637095650098617,0.8804780876494024,0.12350597609561753,0.24701195219123506
genesis,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,250,segment,raw,H_KH,0.008255997906518925,0.000417792776032812,0.007838205130486112,19.76098769565735,0.0003271857083135593,23.95644104043306,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,250,segment,raw,H_KH,0.10182448307233016,0.02048739575083988,0.08133708732149028,4.970103780425869,0.008070012497898698,10.07892953606567,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,H_KH,0.08722601509162775,-0.0003421966702599142,0.08756821176188767,-254.90024501224852,0.024809400625115153,3.5296383449602673,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,H_KH,0.04891755738018493,-7.868312050958881e-06,0.04892542569223589,-6217.0332167016095,0.028031610706303195,1.7453661940744098,0.03187250996015936,0.9721115537848606,0.06374501992031872
genesis,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,H_KH,0.028020507689893837,-0.0009505176045603911,0.02897102529445423,-29.479209596389495,0.018718928512917676,1.5476860908177368,0.055776892430278883,0.9482071713147411,0.11155378486055777
genesis,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,H_KH,0.00481268434108732,0.0006339629270451572,0.004178721414042163,7.591428671576741,0.00044166365937863694,9.461320453489604,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,H_KH,0.13168473121278268,0.04150544820745326,0.09017928300532942,3.1727095333266546,0.014927833287531429,6.041016219055196,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,H_KH,0.08722601509162775,-0.00010300634806563602,0.08732902143969339,-846.8023255814003,0.02590597894526954,3.3709987035884534,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,H_KH,0.04891755738018493,-0.0004355578761395518,0.049353115256324485,-112.31012010103532,0.028272675046309398,1.7456118027560623,0.035856573705179286,0.9681274900398407,0.07171314741035857
genesis,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,H_KH,0.028020507689893837,-0.0011769245974828965,0.029197432287376732,-23.808243748003612,0.02067790038030095,1.4120114591127453,0.08764940239043825,0.9163346613545816,0.1752988047808765
genesis,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,H_KH,0.00481268434108732,0.0005918906572976206,0.0042207936837897,8.131036166477884,0.00040015655626754904,10.547855877107336,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,H_KH,0.13168473121278268,0.03993467248435466,0.09175005872842802,3.2975037234717086,0.01413102714812953,6.492808892563243,0.00398406374501992,1.0,0.00796812749003984
genesis,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,H_KH,0.02605102407473947,0.0003060246736136081,0.025744999401125863,85.1272015655572,0.011417846073775486,2.2548035097667842,0.00796812749003984,0.9960159362549801,0.01593625498007968
genesis,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,H_KH,0.003449744757042239,0.0006374390304010989,0.0028123057266411402,5.411881909508332,0.012881492301361104,0.21832142277055758,0.40239043824701193,0.601593625498008,0.8047808764940239
genesis,major,active_rate,robustness,cadence_peak,run_preserving_circular_translation,250,segment,raw,H_KH,0.003990331539878267,-0.00013290425662812466,0.0041232357965063915,-30.024106383917346,0.008877466432362181,0.46446087156977856,0.33067729083665337,0.6733067729083665,0.6613545816733067
genesis,major,active_rate,robustness,profile_energy,run_preserving_circular_translation,250,segment,raw,H_KH,0.002797455716088945,0.00039484158681073433,0.0024026141292782105,7.0850077842228245,0.0002641331238803274,9.09622425988033,0.00398406374501992,1.0,0.00796812749003984
genesis,major,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,250,segment,raw,H_KH,0.06038930392950803,0.020238848001104634,0.0401504559284034,2.9838310918789444,0.007100927952791587,5.654254795335454,0.00398406374501992,1.0,0.00796812749003984
genesis,major,active_rate,robustness,terminal_contrast,within_segment_value_permutation,250,segment,raw,H_KH,0.02605102407473947,5.868966343274718e-06,0.026045155108396195,4438.775510204022,0.012787609594590894,2.036749317043053,0.0199203187250996,0.9840637450199203,0.0398406374501992
