metric,observed,null_mean,null_sd,z,empirical_p,book,level,shape_field,n_segments,vocab_size,split_mode,transition_accent_mode,empirical_p_tail,n_train_bigrams,n_test_bigrams
unigram_entropy,3.07901018,3.07901018,0,0,,numbers,minor,transition_bucket_shape,4495,22,random,taam_events,,,
conditional_entropy,3.00948992,3.03270114,0.00345613,-6.715956,0.00199601,numbers,minor,transition_bucket_shape,4495,22,random,taam_events,lower,,
entropy_reduction,0.06952026,0.04630904,0.00345613,6.715956,0.00199601,numbers,minor,transition_bucket_shape,4495,22,random,taam_events,upper,,
in_sample_next_accuracy,0.27992879,0.27815398,0.00102566,1.730404,0.07784431,numbers,minor,transition_bucket_shape,4495,22,random,taam_events,upper,,
cv_next_accuracy,0.27808676,0.27330367,0.01282125,0.37306,0.36926148,numbers,minor,transition_bucket_shape,4495,22,random,taam_events,upper,3595,899
unigram_entropy,4.31142643,4.31142643,0,0,,numbers,minor,transition_exact_shape,4495,77,random,taam_events,,,
conditional_entropy,3.93797204,4.0331896,0.00727058,-13.096274,0.00199601,numbers,minor,transition_exact_shape,4495,77,random,taam_events,lower,,
entropy_reduction,0.37345439,0.27823683,0.00727058,13.096274,0.00199601,numbers,minor,transition_exact_shape,4495,77,random,taam_events,upper,,
in_sample_next_accuracy,0.18691589,0.17017134,0.00190216,8.802907,0.00199601,numbers,minor,transition_exact_shape,4495,77,random,taam_events,upper,,
cv_next_accuracy,0.15461624,0.14513459,0.01081064,0.877066,0.19361277,numbers,minor,transition_exact_shape,4495,77,random,taam_events,upper,3595,899
unigram_entropy,4.72370796,4.72370796,0,0,,numbers,major,transition_bucket_shape,2435,57,random,taam_events,,,
conditional_entropy,4.09403939,4.24927822,0.01234646,-12.57355,0.00199601,numbers,major,transition_bucket_shape,2435,57,random,taam_events,lower,,
entropy_reduction,0.62966857,0.47442974,0.01234646,12.57355,0.00199601,numbers,major,transition_bucket_shape,2435,57,random,taam_events,upper,,
in_sample_next_accuracy,0.15612161,0.12949137,0.00310713,8.570686,0.00199601,numbers,major,transition_bucket_shape,2435,57,random,taam_events,upper,,
cv_next_accuracy,0.1026694,0.0792115,0.01179836,1.988234,0.03393214,numbers,major,transition_bucket_shape,2435,57,random,taam_events,upper,1947,487
unigram_entropy,6.68394919,6.68394919,0,0,,numbers,major,transition_exact_shape,2435,279,random,taam_events,,,
conditional_entropy,3.84319844,4.05257987,0.01482969,-14.119071,0.00199601,numbers,major,transition_exact_shape,2435,279,random,taam_events,lower,,
entropy_reduction,2.84075075,2.63136931,0.01482969,14.119071,0.00199601,numbers,major,transition_exact_shape,2435,279,random,taam_events,upper,,
in_sample_next_accuracy,0.21487264,0.16912736,0.00271373,16.856973,0.00199601,numbers,major,transition_exact_shape,2435,279,random,taam_events,upper,,
cv_next_accuracy,0.07392197,0.03075565,0.00782515,5.516358,0.00199601,numbers,major,transition_exact_shape,2435,279,random,taam_events,upper,1947,487
unigram_entropy,4.74753861,4.74753861,0,0,,numbers,verse,transition_bucket_shape,1284,47,random,taam_events,,,
conditional_entropy,3.82710893,4.04317143,0.0192746,-11.209701,0.00199601,numbers,verse,transition_bucket_shape,1284,47,random,taam_events,lower,,
entropy_reduction,0.92042968,0.70436717,0.0192746,11.209701,0.00199601,numbers,verse,transition_bucket_shape,1284,47,random,taam_events,upper,,
in_sample_next_accuracy,0.17225253,0.14096648,0.00437251,7.155166,0.00199601,numbers,verse,transition_bucket_shape,1284,47,random,taam_events,upper,,
cv_next_accuracy,0.12062257,0.06794553,0.01585419,3.322595,0.00399202,numbers,verse,transition_bucket_shape,1284,47,random,taam_events,upper,1026,257
unigram_entropy,7.90526805,7.90526805,0,0,,numbers,verse,transition_exact_shape,1284,388,random,taam_events,,,
conditional_entropy,2.19352257,2.37992976,0.00760202,-24.520734,0.00199601,numbers,verse,transition_exact_shape,1284,388,random,taam_events,lower,,
entropy_reduction,5.71174547,5.52533829,0.00760202,24.520734,0.00199601,numbers,verse,transition_exact_shape,1284,388,random,taam_events,upper,,
in_sample_next_accuracy,0.36944661,0.31793765,0.00285927,18.014697,0.00199601,numbers,verse,transition_exact_shape,1284,388,random,taam_events,upper,,
cv_next_accuracy,0.06614786,0.01007782,0.00614106,9.13035,0.00199601,numbers,verse,transition_exact_shape,1284,388,random,taam_events,upper,1026,257
