book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.12370657797487061,-0.0022912047302291187,0.12599778270509973,-53.99193548387099,0.03146471762166982,4.004414856668689,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.20000695689323092,-0.0020750490292301507,0.20208200592246106,-96.38661741281076,0.03479972729301428,5.806999699190951,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.02401801117781155,-0.0008870364746434038,0.024905047652454954,-27.076689476007164,0.025016296591652713,0.9955529413080719,0.16367265469061876,0.8383233532934131,0.3273453093812375
genesis,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.016512241791415097,0.001041516515001449,0.015470725276413648,15.854037409471252,0.0007614485242805818,20.31749328167708,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.18381833635923184,0.05068232755185413,0.1331360088073777,3.6268724274978004,0.01896219710752554,7.021127776091934,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.12370657797487061,-0.001730229120473027,0.12543680709534363,-71.49722340879947,0.03050504087583932,4.112002590191328,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.20000695689323092,-0.002733673832839542,0.20274063072607046,-73.16416263365196,0.031844571688544245,6.366567988697562,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.02401801117781155,0.010028868660742603,0.013989142517068946,2.3948873985984673,0.023307398636666452,0.6002017957963647,0.26746506986027946,0.7345309381237525,0.5349301397205589
genesis,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.016512241791415097,0.0014071977235120881,0.01510504406790301,11.734130545779875,0.0007245580866718946,20.84725068390977,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.18381833635923184,0.059369400743611765,0.12444893561562007,3.096179750121715,0.016712276036233382,7.44655816752943,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.04416112342941608,-0.001277346637102733,0.04543847006651881,-34.57254448141185,0.015486769350796358,2.9340186476130534,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.08825344172083874,-0.0012469470504682177,0.08950038877130695,-70.77561287602416,0.016786664457122877,5.331636252092378,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.004998886667618607,-0.0002845131965980838,-0.004714373471020524,17.569964161206414,0.0118997069930928,-0.3961755927063572,0.6526946107784432,0.34930139720558884,0.6986027944111777
genesis,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.011782779672313113,0.0006395601910889271,0.011143219481224187,18.42325372417494,0.00046596932317355573,23.91406242224612,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.09523146659456444,0.025011543153761178,0.07021992344080326,3.807500641168706,0.009519790915995726,7.376204378902432,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.04416112342941608,-0.00010476718403547591,0.044265890613451556,-421.51675485009116,0.016146289187290563,2.7415519504193657,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.08825344172083874,-0.0008679432088374049,0.08912138492967614,-101.68112478125467,0.01697219243513327,5.25102371248104,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.004998886667618607,0.004308181343411037,-0.009307068011029644,-1.1603241064269358,0.011881806511154641,-0.7833041214980372,0.7664670658682635,0.23552894211576847,0.47105788423153694
genesis,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.011782779672313113,0.0006836921827445983,0.011099087489568515,17.234041824220647,0.0004302386444235077,25.79751408532951,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.09523146659456444,0.025890734390437674,0.06934073220412676,3.6782064640752967,0.008558017902744849,8.102428972704862,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.10771144278606959,5.3944562899788776e-05,0.1076574982231698,1996.7061923582912,0.02544887415554384,4.230344240973719,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.07836100456158557,0.00020325895362639204,0.07815774560795917,385.5230146742762,0.029285070088541938,2.6688597763861637,0.005988023952095809,0.9960079840319361,0.011976047904191617
genesis,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.023584232617128165,-0.0010289574331313709,0.024613190050259536,-22.920513383489087,0.021244954891213568,1.1585428246985356,0.14570858283433133,0.8562874251497006,0.29141716566866266
genesis,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.006575793715355722,0.0007465724251884037,0.005829221290167318,8.807978293192742,0.0005650725087571296,10.315881944051077,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.14850229345216237,0.04293679711265006,0.10556549633951232,3.4586253153105018,0.01690278680262046,6.24544920149773,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.10771144278606959,-0.0014594882729211049,0.1091709310589907,-73.80082785488206,0.0262657281751015,4.156402226170865,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.07836100456158557,-0.0011978611878207385,0.07955886574940631,-65.41743347085756,0.02920865624863358,2.723811224733359,0.007984031936127744,0.9940119760479041,0.015968063872255488
genesis,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.023584232617128165,-0.0024741032551104667,0.02605833587223863,-9.532436679193951,0.01997647341043003,1.3044512580800758,0.07584830339321358,0.9261477045908184,0.15169660678642716
genesis,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.006575793715355722,0.0006603748795079382,0.005915418835847784,9.957667863222644,0.00044154704089699475,13.397029733979688,0.001996007984031936,1.0,0.003992015968063872
genesis,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.14850229345216237,0.04038541974899044,0.10811687370317194,3.6771264078758192,0.014327314290432585,7.546206603101436,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.043390191897654584,-0.0005275053304904063,0.04391769722814499,-82.25545675020193,0.013027594455621403,3.3711286744264988,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.02038340648628903,-0.0002822056414884283,0.02066561212777746,-72.22891214641024,0.0149231494912249,1.3848023260726054,0.07385229540918163,0.9281437125748503,0.14770459081836326
genesis,major,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.011694858511026862,-0.0006988819462670295,0.012393740457293892,-16.733668072974485,0.01073216724282159,1.1548217780135392,0.12574850299401197,0.8762475049900199,0.25149700598802394
genesis,major,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.0035892258035039332,0.0004910418379655717,0.0030981839655383615,7.3094093537414295,0.00035262567329661455,8.786041970722573,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.06884752597125843,0.021930976203014114,0.04691654976824432,3.1392823253255946,0.008183190672035127,5.73328322026943,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.043390191897654584,-0.0009346837242359636,0.044324875621890546,-46.422325298456364,0.013205614762188171,3.3565173920419524,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.02038340648628903,-0.0007562132690479508,0.02113961975533698,-26.95457395497848,0.014456986813758939,1.462242445653895,0.0718562874251497,0.9301397205588823,0.1437125748502994
genesis,major,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.011694858511026862,-0.0028489930700217776,0.01454385158104864,-4.1049094271533155,0.010249891651510619,1.418927348261792,0.07784431137724551,0.9241516966067864,0.15568862275449102
genesis,major,active_rate,robustness,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.0035892258035039332,0.00045054705899510045,0.003138678744508833,7.9663727280993415,0.00030162100309720453,10.406035097951449,0.001996007984031936,1.0,0.003992015968063872
genesis,major,active_rate,robustness,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.06884752597125843,0.0211077788288952,0.04773974714236323,3.261713443624422,0.0074381948815574,6.41818988377561,0.001996007984031936,1.0,0.003992015968063872
genesis,verse,mean_count,exploratory,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.007992973210364518,-0.0013086517347386847,0.009301624945103202,-6.107792469293274,0.024147658273984907,0.3851978042576559,0.3373253493013972,0.6646706586826348,0.6746506986027944
genesis,verse,mean_count,exploratory,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.006261228229115846,-0.0017872420722635043,0.00804847030137935,-3.5032905314198053,0.027810964871700698,0.2893991754154904,0.3912175648702595,0.6107784431137725,0.782435129740519
genesis,verse,mean_count,exploratory,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.007236066154891474,-0.001205807724612754,0.008441873879504229,-6.00101161005196,0.01890482186912788,0.44654606840226585,0.3273453093812375,0.6746506986027944,0.654690618762475
genesis,verse,mean_count,exploratory,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.00014675876714171087,0.0006779298803157772,-0.0005311711131740662,0.2164807473500817,0.0004987675423878521,-1.0649672804109944,0.936127744510978,0.0658682634730539,0.1317365269461078
genesis,verse,mean_count,exploratory,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.02036385574853483,0.041127677589552686,-0.020763821841017854,0.4951375069548709,0.01571969062847503,-1.32087980175677,0.9261477045908184,0.07584830339321358,0.15169660678642716
genesis,verse,mean_count,exploratory,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.007992973210364518,-0.0003980017566974119,0.00839097496706193,-20.08275862068951,0.02587789528019511,0.32425260540735384,0.34930139720558884,0.6526946107784432,0.6986027944111777
genesis,verse,mean_count,exploratory,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.006261228229115846,0.0005346697632672919,0.005726558465848554,11.7104587902154,0.028648501111200975,0.19989033435363873,0.4231536926147705,0.5788423153692615,0.846307385229541
genesis,verse,mean_count,exploratory,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.007236066154891474,-0.0007024592202209117,0.007938525375112386,-10.301048013315068,0.020495826365104292,0.3873239962955741,0.3393213572854291,0.6626746506986028,0.6786427145708582
genesis,verse,mean_count,exploratory,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.00014675876714171087,0.0007139033038736166,-0.0005671445367319058,0.20557233219877605,0.0005104598618432801,-1.1110462920315345,0.9520958083832335,0.0499001996007984,0.0998003992015968
genesis,verse,mean_count,exploratory,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.02036385574853483,0.0431207938603713,-0.022756938111836468,0.47225141110515456,0.01582397739960474,-1.4381300944227147,0.9441117764471058,0.05788423153692615,0.1157684630738523
genesis,verse,active_rate,exploratory,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,-0.0072902942468160425,-7.171717171716918e-05,-0.007218577075098874,101.65339865279067,0.01286793950801262,-0.5609738117438308,0.7325349301397206,0.2694610778443114,0.5389221556886228
genesis,verse,active_rate,exploratory,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,-0.007555019594268048,-0.0002140180761954406,-0.007341001518072607,35.300848080555724,0.014514549716305246,-0.5057684641657142,0.7005988023952096,0.3013972055888224,0.6027944111776448
