from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A3_C0,P<=4_A3_C0,338,0.272361,0.27614597,0.98629358,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,266,0.21434327,0.19492657,1.09961035,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A3_C0,222,0.31223629,0.27614597,1.13069289,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A3_C0,220,0.25142857,0.27614597,0.91049154,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A2_C0,192,0.15471394,0.15821095,0.97789655,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A4_C0,171,0.24050633,0.19492657,1.23383041,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,167,0.19085714,0.15821095,1.20634599,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A4_C0,143,0.16342857,0.19492657,0.83841096,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A0-1_C0,100,0.08058018,0.06875834,1.17193306,numbers,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A3_C0,99,0.32038835,0.27614597,1.16021373,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A2_C0,88,0.12376934,0.15821095,0.78230578,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A5_C0,80,0.06446414,0.07743658,0.83247659,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A3_C0,80,0.22988506,0.27614597,0.83247659,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A5_C0,79,0.06365834,0.05184691,1.22781365,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A6-7_C0,73,0.05882353,0.05496217,1.07025482,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,71,0.08114286,0.07743658,1.04786207,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A0-1_C0,67,0.07657143,0.06875834,1.11363107,numbers,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A3_C0,66,0.2832618,0.27614597,1.02576836,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A2_C0,61,0.17528736,0.15821095,1.10793443,numbers,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A3_C0,60,0.24291498,0.27614597,0.8796615,numbers,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A2_C0,56,0.18122977,0.15821095,1.14549452,numbers,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A3_C0,55,0.31609195,0.27614597,1.14465531,numbers,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A4_C0,55,0.17799353,0.19492657,0.91313118,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A4_C0,55,0.15804598,0.19492657,0.81079751,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A6-7_C0,52,0.05942857,0.05496217,1.08126316,numbers,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A4_C0,50,0.20242915,0.19492657,1.03848927,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A5_C0,50,0.07032349,0.07743658,0.90814297,numbers,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A2_C0,44,0.17813765,0.15821095,1.12595022,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A6-7_C0,43,0.0604782,0.05496217,1.10036044,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A5_C0,41,0.05766526,0.05184691,1.1122218,numbers,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,40,0.29411765,0.19492657,1.50886382,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A4_C0,39,0.03142627,0.03871829,0.81166468,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A6-7_C0,39,0.03142627,0.03004005,1.04614558,numbers,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A4_C0,38,0.16309013,0.19492657,0.8366747,numbers,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A2_C0,38,0.16309013,0.15821095,1.03083972,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A0-1_C0,37,0.05203938,0.06875834,0.75684459,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,36,0.10344828,0.07743658,1.33590963,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A5_C0,33,0.03771429,0.05184691,0.72741631,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A4_C0,32,0.03657143,0.03871829,0.94455172,numbers,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A3_C0,29,0.21323529,0.27614597,0.77218325,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A0-1_C0,27,0.07758621,0.06875834,1.12838969,numbers,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A3_C0,26,0.38235294,0.27614597,1.38460445,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A5_C0,25,0.07183908,0.05184691,1.38560012,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,24,0.02742857,0.03004005,0.91306667,numbers,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A0-1_C0,23,0.09871245,0.06875834,1.43564315,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A8+_C0,23,0.02628571,0.01513129,1.73717647,numbers,minor,transition_bucket_shape,taam_events
