book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,VF,0.11653846153846154,0.0018795726495726558,0.11465888888888888,62.00263744258994,0.020981446007139623,5.464775347222133,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,VF,0.10489766331229744,0.000656549737525352,0.10424111357477209,159.77108407304317,0.024993565367859728,4.170718024440807,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,VF,-0.0033691095692715,0.0021601059442286213,-0.005529215513500121,-1.5596964483492575,0.01838064504048397,-0.3008172728063593,0.6254980079681275,0.3784860557768924,0.7569721115537849
genesis,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,VF,0.010766064510475666,0.000736127867717133,0.010029936642758534,14.62526414583814,0.0005226879467239287,19.189148526618133,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,VF,0.18017181607002491,0.04278242758529737,0.13738938848472754,4.2113509269853315,0.016614697071558087,8.269147965382885,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,VF,0.11653846153846154,0.0014028205128205156,0.11513564102564101,83.07439225004553,0.02033553188320266,5.661796391012724,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,VF,0.10489766331229744,0.003433677866848602,0.10146398544544884,30.54965182525161,0.024573734252000944,4.128960800379251,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,VF,-0.0033691095692715,0.001113552084417219,-0.004482661653688719,-3.025551850172086,0.017603784518996156,-0.25464192934488045,0.5976095617529881,0.4063745019920319,0.8127490039840638
genesis,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,VF,0.010766064510475666,0.0006427873255986657,0.010123277184877,16.749030482902874,0.00047435347962861786,21.34120991966317,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,VF,0.18017181607002491,0.03934061695250885,0.14083119911751607,4.579791320698515,0.01544168804494142,9.120194547878546,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,VF,0.05320512820512818,0.00022658119658119547,0.05297854700854699,234.8170501697483,0.010005364894812923,5.2950139815503015,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,VF,0.038561743134913874,0.00021087535770462443,0.03835086777720925,182.86509886531056,0.012323748267246663,3.111948324937466,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,250,segment,raw,VF,-0.007146266716838157,0.0004905664547046016,-0.007636833171542758,-14.567377463959163,0.00920174160833235,-0.8299334513618012,0.8167330677290837,0.18725099601593626,0.3745019920318725
genesis,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,250,segment,raw,VF,0.008095042040271404,0.000480856513126193,0.007614185527145212,16.83463116188881,0.0003030773928101614,25.122908233259448,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,250,segment,raw,VF,0.10108890449314145,0.022084334707569042,0.07900456978557241,4.577403206015298,0.007418035478644068,10.650335929643402,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,250,segment,raw,VF,0.05320512820512818,0.0003012820512820513,0.052903846153846135,176.59574468085097,0.010941713007304867,4.835060663584089,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,250,segment,raw,VF,0.038561743134913874,0.001485132753425435,0.03707661038148844,25.965182604701045,0.013441224434751634,2.7584250647306106,0.01195219123505976,0.9920318725099602,0.02390438247011952
genesis,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,250,segment,raw,VF,-0.007146266716838157,0.0006826086094464452,-0.007828875326284603,-10.469054474178625,0.009169119953398688,-0.8538306147235754,0.8007968127490039,0.20318725099601595,0.4063745019920319
genesis,minor,active_rate,robustness,profile_energy,within_segment_value_permutation,250,segment,raw,VF,0.008095042040271404,0.0004281583462351344,0.0076668836940362705,18.906654772591537,0.0003401458491591387,22.53998898704563,0.00398406374501992,1.0,0.00796812749003984
genesis,minor,active_rate,robustness,profile_amplitude,within_segment_value_permutation,250,segment,raw,VF,0.10108890449314145,0.020367783365945063,0.08072112112719639,4.963176536046731,0.008006346694388435,10.082141606954515,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,primary,terminal_contrast,run_preserving_circular_translation,250,segment,raw,VF,0.09040004790992939,0.0012351179782009818,0.0891649299317284,73.1914274631498,0.02550403795666493,3.4961103054831,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,secondary,linear_slope,run_preserving_circular_translation,250,segment,raw,VF,0.0558940066874703,0.0013650397976750401,0.054528966889795256,40.94679641038302,0.029558084204765998,1.8448072111859979,0.03187250996015936,0.9721115537848606,0.06374501992031872
genesis,major,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,250,segment,raw,VF,0.034262213906240735,0.0008953130989654338,0.0333669008072753,38.26841575961744,0.019964812431662145,1.6712854639374832,0.04780876494023904,0.9561752988047809,0.09561752988047809
genesis,major,mean_count,descriptive,profile_energy,run_preserving_circular_translation,250,segment,raw,VF,0.004538682607821513,0.0007121326093377981,0.0038265499984837152,6.3733671907567455,0.0005307826741439107,7.209259429305008,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,250,segment,raw,VF,0.12161747854332361,0.042219793906863506,0.0793976846364601,2.88057963550487,0.016333548654132016,4.861018650492359,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,primary,terminal_contrast,within_segment_value_permutation,250,segment,raw,VF,0.09040004790992939,0.00013762127200861584,0.09026242663792078,656.8755439513003,0.025638090521048023,3.5206376451404724,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,secondary,linear_slope,within_segment_value_permutation,250,segment,raw,VF,0.0558940066874703,-0.00015342350411078892,0.05604743019158109,-364.3118895727253,0.02806479166212289,1.9970727332077234,0.01593625498007968,0.9880478087649402,0.03187250996015936
genesis,major,mean_count,descriptive,cadence_peak,within_segment_value_permutation,250,segment,raw,VF,0.034262213906240735,-0.0007667176279729784,0.035028931534213714,-44.68687383231555,0.020533559198512692,1.7059356926660316,0.043824701195219126,0.9601593625498008,0.08764940239043825
genesis,major,mean_count,descriptive,profile_energy,within_segment_value_permutation,250,segment,raw,VF,0.004538682607821513,0.0005999062680304581,0.003938776339791055,7.5656529189507955,0.0004029465821395835,9.774934232911884,0.00398406374501992,1.0,0.00796812749003984
genesis,major,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,250,segment,raw,VF,0.12161747854332361,0.0391198791530905,0.0824975993902331,3.1088408547324393,0.01420043906911927,5.809510465745741,0.00398406374501992,1.0,0.00796812749003984
genesis,major,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,250,segment,raw,VF,0.02410468319559228,0.0011639717331416927,0.022940711462450587,20.70899362008645,0.012343333081613703,1.8585507910033192,0.027888446215139442,0.9760956175298805,0.055776892430278883
genesis,major,active_rate,robustness,linear_slope,run_preserving_circular_translation,250,segment,raw,VF,0.004701698120965438,0.001732202010327192,0.0029694961106382462,2.714289726564481,0.014368987721423882,0.20666007711947482,0.43824701195219123,0.5657370517928287,0.8764940239043825
