book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,-0.04022164276401563,0.0009593307257714055,-0.04118097348978703,-41.92677424323409,0.12692294454459283,-0.3244564931702999,0.6367265469061876,0.3652694610778443,0.7305389221556886
genesis,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.0668843841193974,0.0007317784622759481,0.06615260565712146,91.39977133431375,0.1059082009744148,0.6246221260344375,0.2754491017964072,0.7265469061876247,0.5508982035928144
genesis,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.03832829310373376,0.0007136008091162856,0.037614692294617474,53.71111217096158,0.03264059118096847,1.1523900436138306,0.10978043912175649,0.8922155688622755,0.21956087824351297
genesis,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.01121490194335993,0.008722704142558485,0.002492197800801444,1.285713897900296,0.007364680726599745,0.3383986208390714,0.26746506986027946,0.7345309381237525,0.5349301397205589
genesis,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.18125787925479753,0.17443150019095824,0.0068263790638392885,1.039135013207856,0.07633298197830589,0.08942895832078682,0.40119760479041916,0.6007984031936128,0.8023952095808383
genesis,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,-0.04022164276401563,0.05624466753585398,-0.0964663102998696,-0.715119219762047,0.11902091909230719,-0.8104987848821327,0.8063872255489022,0.19560878243512975,0.3912175648702595
genesis,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.0668843841193974,0.07212249091010367,-0.005238106790706271,0.9273720759695439,0.0845666587521437,-0.06194056697993272,0.5349301397205589,0.46706586826347307,0.9341317365269461
genesis,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,0.03832829310373376,0.019183747808983697,0.01914454529475006,1.9979564726025392,0.025855997175959003,0.7404295863920779,0.2315369261477046,0.7704590818363274,0.4630738522954092
genesis,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.01121490194335993,0.010572483318767072,0.0006424186245928571,1.0607632667958442,0.008792432719242235,0.07306494631308628,0.34930139720558884,0.6526946107784432,0.6986027944111777
genesis,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.18125787925479753,0.18190349955551854,-0.0006456203007210171,0.9964507538211271,0.07882455520584858,-0.008190598716795724,0.4550898203592814,0.5469061876247505,0.9101796407185628
genesis,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.019196001738374602,0.0024600608431116894,0.016735940895262914,7.803059746316642,0.0617204212087117,0.2711572696283005,0.38922155688622756,0.6147704590818364,0.7784431137724551
genesis,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.053177071289365496,0.0021593196720415928,0.0510177516173239,24.62677109734644,0.049061947216651164,1.0398639783300112,0.1536926147704591,0.8483033932135728,0.3073852295409182
genesis,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,0.017188760777961942,0.0009232512812364095,0.016265509496725533,18.617640860398172,0.014878612043050918,1.093214168745153,0.12574850299401197,0.8762475049900199,0.25149700598802394
genesis,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.003991752964967508,0.005281672021263641,-0.0012899190562961332,0.75577448749127,0.004542033861899345,-0.2839959136184702,0.48902195608782434,0.5129740518962076,0.9780439121756487
