k,pattern,observed_count,observed_share,enrichment_ratio,total_ngrams,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,rank,book,run_label,stream_type
3,pashta munah zaqef_qatan,527,0.03639754,35.215503,14479,14.965,3.68669685,20,138.887199,True,0.00497512,0,200,1,numbers,control_exclude_meteg,full
3,qadma geresh revia,69,0.00476552,233.898305,14479,0.295,0.51896205,3,132.389257,True,0.00497512,0,200,2,numbers,control_exclude_meteg,full
3,mahapakh pashta zaqef_qatan,269,0.01857863,61.275626,14479,4.39,2.02444856,11,130.707199,True,0.00497512,0,200,3,numbers,control_exclude_meteg,full
3,darga tevir tipeha,139,0.00960011,91.147541,14479,1.525,1.251883,7,109.814575,True,0.00497512,0,200,4,numbers,control_exclude_meteg,full
3,sof_pasuq qadma geresh,85,0.00587057,137.096774,14479,0.62,0.8361193,5,100.918613,True,0.00497512,0,200,5,numbers,control_exclude_meteg,full
3,tipeha munah atnah,498,0.03439464,20.052345,14479,24.835,4.70194817,25,100.631692,True,0.00497512,0,200,6,numbers,control_exclude_meteg,full
3,tevir merkha tipeha,362,0.02500173,28.673267,14479,12.625,3.53224557,18,98.910167,True,0.00497512,0,200,7,numbers,control_exclude_meteg,full
3,mahapakh pashta munah,220,0.01519442,36.454018,14479,6.035,2.20410193,13,97.075819,True,0.00497512,0,200,8,numbers,control_exclude_meteg,full
3,tipeha merkha sof_pasuq,509,0.03515436,18.056048,14479,28.19,5.19411147,27,92.568287,True,0.00497512,0,200,9,numbers,control_exclude_meteg,full
3,revia mahapakh pashta,107,0.00739001,66.25387,14479,1.615,1.21827582,6,86.503399,True,0.00497512,0,200,10,numbers,control_exclude_meteg,full
3,qadma darga tevir,45,0.00310795,138.461538,14479,0.325,0.59256278,4,75.392855,True,0.00497512,0,200,11,numbers,control_exclude_meteg,full
3,qadma mahapakh pashta,97,0.00669936,67.128028,14479,1.445,1.30209533,8,73.385564,True,0.00497512,0,200,12,numbers,control_exclude_meteg,full
3,darga tevir merkha,83,0.00573244,66.666667,14479,1.245,1.11408299,6,73.383223,True,0.00497512,0,200,13,numbers,control_exclude_meteg,full
3,zaqef_qatan merkha tipeha,409,0.02824781,13.82691,14479,29.58,5.35227374,27,70.889498,True,0.00497512,0,200,14,numbers,control_exclude_meteg,full
3,yetiv munah zaqef_qatan,59,0.00407487,65.921788,14479,0.895,0.88196617,5,65.881212,True,0.00497512,0,200,15,numbers,control_exclude_meteg,full
3,segol mahapakh pashta,37,0.00255543,132.142857,14479,0.28,0.55961221,4,65.616867,True,0.00497512,0,200,16,numbers,control_exclude_meteg,full
3,munah zaqef_qatan tipeha,390,0.02693556,12.984851,14479,30.035,5.49863163,26,65.464469,True,0.00497512,0,200,17,numbers,control_exclude_meteg,full
3,atnah darga tevir,53,0.00366047,73.103448,14479,0.725,0.80786025,4,64.707974,True,0.00497512,0,200,18,numbers,control_exclude_meteg,full
3,merkha tipeha sof_pasuq,377,0.02603771,13.316849,14479,28.31,5.42596586,26,64.263213,True,0.00497512,0,200,19,numbers,control_exclude_meteg,full
3,paseq munah revia,41,0.00283169,124.242424,14479,0.33,0.6505506,4,62.516275,True,0.00497512,0,200,20,numbers,control_exclude_meteg,full
3,gershayim mahapakh pashta,32,0.0022101,100.0,14479,0.32,0.50881674,3,62.262103,True,0.00497512,0,200,21,numbers,control_exclude_meteg,full
3,gershayim munah revia,37,0.00255543,90.243902,14479,0.41,0.61136637,3,59.849546,True,0.00497512,0,200,22,numbers,control_exclude_meteg,full
3,qadma geresh munah,60,0.00414393,64.171123,14479,0.935,0.99282603,5,59.491793,True,0.00497512,0,200,23,numbers,control_exclude_meteg,full
3,merkha tipeha atnah,337,0.02327509,13.197572,14479,25.535,5.2970813,25,58.799362,True,0.00497512,0,200,24,numbers,control_exclude_meteg,full
3,sof_pasuq telisha_qetana qadma,30,0.00207197,113.207547,14479,0.265,0.50601905,3,58.76261,True,0.00497512,0,200,25,numbers,control_exclude_meteg,full
