from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A2_C0,P<=4_A4_C0,236,0.24789916,0.21249565,1.16660817,202.85,11.52463163,2.876448,0.00598802,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A0-1_C0,32,0.10457516,0.0673512,1.55268447,20.23,4.23662578,2.778154,0.00798403,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A2_C0,68,0.22222222,0.16568047,1.34126984,51.048,6.24593623,2.714085,0.00998004,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,359,0.2355643,0.21249565,1.1085606,325.168,14.49689954,2.33374,0.01796407,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A0-1_C0,37,0.09560724,0.0673512,1.41953275,26.034,4.92436216,2.226887,0.01796407,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A5_C0,30,0.09615385,0.0673512,1.42764858,20.88,4.14825458,2.198515,0.02794411,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,226,0.1852459,0.16568047,1.11809133,203.096,11.48244212,1.994698,0.02794411,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,39,0.27464789,0.21249565,1.29248711,29.896,4.69566636,1.938809,0.03992016,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A6-7_C0,29,0.0749354,0.05325444,1.4071203,20.882,4.30594453,1.885301,0.05588822,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A3_C0,98,0.31410256,0.26505395,1.18505143,83.064,8.0484445,1.855762,0.03592814,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
