k,pattern,observed_count,observed_share,enrichment_ratio,total_ngrams,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,rank,book,run_label,stream_type
3,pashta munah zaqef_qatan,679,0.0353867,32.889319,19188,20.645,4.17806849,21,157.574009,True,0.00497512,0,200,1,genesis,control_exclude_external,full
3,mahapakh pashta zaqef_qatan,303,0.01579112,44.395604,19188,6.825,2.58802325,14,114.440626,True,0.00497512,0,200,2,genesis,control_exclude_external,full
3,darga tevir tipeha,121,0.00630602,94.901961,19188,1.275,1.14715072,6,104.36728,True,0.00497512,0,200,3,genesis,control_exclude_external,full
3,tipeha munah atnah,574,0.02991453,20.254058,19188,28.34,5.47212213,27,99.716342,True,0.00497512,0,200,4,genesis,control_exclude_external,full
3,tevir merkha tipeha,340,0.01771941,28.764805,19188,11.82,3.32004722,18,98.847992,True,0.00497512,0,200,5,genesis,control_exclude_external,full
3,meteg qadma geresh,86,0.00448197,113.157895,19188,0.76,0.86958663,5,98.023586,True,0.00497512,0,200,6,genesis,control_exclude_external,full
3,tipeha merkha meteg,627,0.03267667,11.989674,19188,52.295,6.95700905,32,82.608057,True,0.00497512,0,200,7,genesis,control_exclude_external,full
3,merkha tipeha atnah,453,0.02360851,16.103804,19188,28.13,5.21912794,25,81.40632,True,0.00497512,0,200,8,genesis,control_exclude_external,full
3,zaqef_qatan merkha tipeha,533,0.02777778,14.592745,19188,36.525,6.15048922,30,80.721221,True,0.00497512,0,200,9,genesis,control_exclude_external,full
3,revia mahapakh pashta,121,0.00630602,53.89755,19188,2.245,1.52202424,9,78.024381,True,0.00497512,0,200,10,genesis,control_exclude_external,full
3,qadma mahapakh pashta,104,0.00542005,64.797508,19188,1.605,1.32580686,7,77.232215,True,0.00497512,0,200,11,genesis,control_exclude_external,full
3,darga tevir merkha,84,0.00437774,82.758621,19188,1.015,1.07730121,6,77.030453,True,0.00497512,0,200,12,genesis,control_exclude_external,full
3,qadma darga tevir,37,0.00192829,151.020408,19188,0.245,0.50621762,4,72.607113,True,0.00497512,0,200,13,genesis,control_exclude_external,full
3,mahapakh pashta munah,238,0.01240359,26.327434,19188,9.04,3.17787578,19,72.048128,True,0.00497512,0,200,14,genesis,control_exclude_external,full
3,meteg telisha_qetana qadma,39,0.00203252,125.806452,19188,0.31,0.55265463,3,70.007557,True,0.00497512,0,200,15,genesis,control_exclude_external,full
