from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A3_C0,P<=4_A3_C0,687,0.34557344,0.34597981,0.99882545,genesis,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A3_C0,524,0.37943519,0.34597981,1.09669749,genesis,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A2_C0,486,0.2444668,0.24034111,1.01716599,genesis,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A2_C0,317,0.22954381,0.24034111,0.95507511,genesis,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A3_C0,212,0.35215947,0.34597981,1.01786132,genesis,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A4_C0,190,0.09557344,0.10476853,0.9122342,genesis,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A3_C0,188,0.41318681,0.34597981,1.19425122,genesis,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A0-1_C0,182,0.0915493,0.07918552,1.15613682,genesis,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A2_C0,144,0.23920266,0.24034111,0.99526319,genesis,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A5_C0,138,0.0694165,0.07344239,0.94518295,genesis,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A4_C0,135,0.06790744,0.06769927,1.00307501,genesis,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A4_C0,134,0.09703114,0.10476853,0.92614769,genesis,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A2_C0,116,0.27488152,0.24034111,1.14371412,genesis,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A3_C0,113,0.29048843,0.34597981,0.83961093,genesis,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A3_C0,111,0.26303318,0.34597981,0.76025585,genesis,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A2_C0,100,0.25706941,0.24034111,1.06960233,genesis,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A5_C0,94,0.06806662,0.07344239,0.92680282,genesis,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A4_C0,93,0.06734251,0.06769927,0.99473017,genesis,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A0-1_C0,89,0.06444605,0.07918552,0.81386159,genesis,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A2_C0,88,0.19340659,0.24034111,0.80471708,genesis,minor,transition_bucket_shape,accent_words
