book,level,coordinate_mode,aggregation,value_mode,equivalence_profile,eligible_segments,bin,normalized_position_midpoint,distance_to_cadence,mean_count,active_rate,n_contributions,n_segments_contributing,n_tokens
leviticus,minor,normalized,segment,raw,STRICT,2152,1,0.1,,0.6531133828996283,0.3940520446096654,2152,2152,2217
leviticus,minor,normalized,segment,raw,STRICT,2152,2,0.3,,0.6305361305361306,0.3918997668997669,1144,1144,1242
leviticus,minor,normalized,segment,raw,STRICT,2152,3,0.5,,0.7224358974358974,0.4263888888888889,1560,1560,1735
leviticus,minor,normalized,segment,raw,STRICT,2152,4,0.7,,0.7115384615384616,0.43094405594405594,1144,1144,1242
leviticus,minor,normalized,segment,raw,STRICT,2152,5,0.9,,0.7146840148698885,0.42402416356877326,2152,2152,2217
leviticus,major,normalized,segment,raw,STRICT,1564,1,0.1,,0.6664535379369139,0.3975383631713555,1564,1564,2108
leviticus,major,normalized,segment,raw,STRICT,1564,2,0.3,,0.7160356347438753,0.4094283593170007,1347,1347,1953
leviticus,major,normalized,segment,raw,STRICT,1564,3,0.5,,0.6945736434108527,0.4145994832041344,1290,1290,1991
leviticus,major,normalized,segment,raw,STRICT,1564,4,0.7,,0.7189433308586983,0.4309576837416481,1347,1347,1953
leviticus,major,normalized,segment,raw,STRICT,1564,5,0.9,,0.7496803069053708,0.4384057971014492,1564,1564,2108
leviticus,verse,normalized,segment,raw,STRICT,855,1,0.1,,0.715672514619883,0.4155750487329435,855,855,2072
leviticus,verse,normalized,segment,raw,STRICT,855,2,0.3,,0.6699450333725951,0.4134864546525324,849,849,2057
leviticus,verse,normalized,segment,raw,STRICT,855,3,0.5,,0.7175544794188863,0.42033898305084744,826,826,2054
leviticus,verse,normalized,segment,raw,STRICT,855,4,0.7,,0.7920691009030232,0.43574793875147233,849,849,2057
leviticus,verse,normalized,segment,raw,STRICT,855,5,0.9,,0.6937426900584795,0.42198830409356725,855,855,2072
