source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
meteg,sof_pasuq,1200,0.58968059,0.99585062,90,1110,13.33333333,153.520003,7.816571,exodus,explore_k3_7_edges20,core_adjacent
merkha,tipeha,1153,0.61297182,0.49168443,453,700,2.54525386,276.150066,4.175266,exodus,explore_k3_7_edges20,core_adjacent
munah,zaqef_qatan,852,0.45151033,0.5807771,80,772,10.65,173.306768,4.916138,exodus,explore_k3_7_edges20,core_adjacent
tipeha,meteg,781,0.33290708,0.38023369,135,646,5.78518519,301.67683,2.588863,exodus,explore_k3_7_edges20,core_adjacent
zaqef_qatan,tipeha,591,0.40786749,0.25202559,0,591,inf,212.728041,2.778195,exodus,explore_k3_7_edges20,core_adjacent
tipeha,atnah,582,0.24808184,0.50696864,144,438,4.04166667,168.610029,3.451752,exodus,explore_k3_7_edges20,core_adjacent
mahapakh,pashta,574,0.87366819,0.43320755,10,564,57.4,54.499781,10.532152,exodus,explore_k3_7_edges20,core_adjacent
pashta,munah,556,0.4189902,0.30650496,3,553,185.33333333,150.702936,3.689377,exodus,explore_k3_7_edges20,core_adjacent
merkha,meteg,537,0.28548644,0.26144109,95,442,5.65263158,241.88155,2.220095,exodus,explore_k3_7_edges20,core_adjacent
tipeha,munah,523,0.22293265,0.28831312,4,519,130.75,266.427346,1.963012,exodus,explore_k3_7_edges20,core_adjacent
munah,atnah,515,0.27291998,0.44860627,179,336,2.87709497,135.621111,3.797344,exodus,explore_k3_7_edges20,core_adjacent
tipeha,merkha,453,0.19309463,0.2416,1153,-700,0.39288812,275.38659,1.64496,exodus,explore_k3_7_edges20,core_adjacent
pashta,zaqef_qatan,447,0.33685004,0.30470348,64,383,6.984375,121.874977,3.667693,exodus,explore_k3_7_edges20,core_adjacent
zaqef_qatan,merkha,429,0.29606625,0.2288,1,428,429.0,170.091717,2.522169,exodus,explore_k3_7_edges20,core_adjacent
tevir,merkha,369,0.63076923,0.1968,145,224,2.54482759,68.670569,5.373481,exodus,explore_k3_7_edges20,core_adjacent
munah,revia,262,0.13884473,0.53036437,20,242,13.1,58.359607,4.489407,exodus,explore_k3_7_edges20,core_adjacent
sof_pasuq,munah,216,0.19115044,0.11907387,0,216,inf,128.330307,1.683157,exodus,explore_k3_7_edges20,core_adjacent
sof_pasuq,merkha,214,0.18938053,0.11413333,0,214,inf,132.645715,1.61332,exodus,explore_k3_7_edges20,core_adjacent
atnah,merkha,206,0.18744313,0.10986667,1,205,206.0,129.006761,1.596816,exodus,explore_k3_7_edges20,core_adjacent
pashta,pashta,206,0.15523738,0.1554717,206,0,1.0,110.077944,1.871401,exodus,explore_k3_7_edges20,core_adjacent
tevir,tipeha,193,0.32991453,0.08230277,0,193,inf,85.883992,2.247217,exodus,explore_k3_7_edges20,core_adjacent
qadma,geresh,192,0.47174447,0.83842795,5,187,38.4,5.835034,32.904692,exodus,explore_k3_7_edges20,core_adjacent
darga,tevir,189,0.85909091,0.32363014,0,189,inf,8.043574,23.497019,exodus,explore_k3_7_edges20,core_adjacent
atnah,munah,179,0.16287534,0.09867696,515,-336,0.34757282,124.809741,1.434183,exodus,explore_k3_7_edges20,core_adjacent
sof_pasuq,mahapakh,149,0.13185841,0.24267101,0,149,inf,43.43705,3.430251,exodus,explore_k3_7_edges20,core_adjacent
merkha,tevir,145,0.07708666,0.24828767,369,-224,0.39295393,68.772554,2.108399,exodus,explore_k3_7_edges20,core_adjacent
atnah,tipeha,144,0.13102821,0.06140725,582,-438,0.24742268,161.344456,0.8925,exodus,explore_k3_7_edges20,core_adjacent
meteg,pashta,138,0.06781327,0.10415094,97,41,1.42268041,168.808302,0.817495,exodus,explore_k3_7_edges20,core_adjacent
meteg,tipeha,135,0.06633907,0.0575693,781,-646,0.17285531,298.758843,0.451869,exodus,explore_k3_7_edges20,core_adjacent
revia,pashta,134,0.29321663,0.10113208,0,134,inf,37.909284,3.534754,exodus,explore_k3_7_edges20,core_adjacent
meteg,zaqef_qatan,132,0.06486486,0.08997955,83,49,1.59036145,186.899455,0.706262,exodus,explore_k3_7_edges20,core_adjacent
revia,mahapakh,123,0.26914661,0.20032573,0,123,inf,17.567019,7.001757,exodus,explore_k3_7_edges20,core_adjacent
sof_pasuq,qadma,115,0.10176991,0.31680441,0,115,inf,25.68021,4.478156,exodus,explore_k3_7_edges20,core_adjacent
atnah,mahapakh,115,0.10464058,0.18729642,0,115,inf,42.245414,2.722189,exodus,explore_k3_7_edges20,core_adjacent
munah,meteg,101,0.05352411,0.04917235,63,38,1.6031746,242.653102,0.416232,exodus,explore_k3_7_edges20,core_adjacent
pashta,meteg,97,0.07309721,0.04722493,138,-41,0.70289855,170.641583,0.568443,exodus,explore_k3_7_edges20,core_adjacent
meteg,merkha,95,0.04668305,0.05066667,537,-442,0.17690875,238.879672,0.39769,exodus,explore_k3_7_edges20,core_adjacent
atnah,pashta,93,0.08462238,0.07018868,1,92,93.0,91.164778,1.020131,exodus,explore_k3_7_edges20,core_adjacent
qadma,mahapakh,91,0.22358722,0.14820847,1,90,91.0,15.645026,5.816545,exodus,explore_k3_7_edges20,core_adjacent
sof_pasuq,meteg,90,0.07964602,0.04381694,1200,-1110,0.075,145.308959,0.61937,exodus,explore_k3_7_edges20,core_adjacent
atnah,meteg,89,0.08098271,0.04333009,46,43,1.93478261,141.322607,0.629765,exodus,explore_k3_7_edges20,core_adjacent
telisha_qetana,qadma,86,0.95555556,0.2369146,0,86,inf,2.045326,42.047077,exodus,explore_k3_7_edges20,core_adjacent
zaqef_qatan,meteg,83,0.05728088,0.04040896,132,-49,0.62878788,186.329807,0.445447,exodus,explore_k3_7_edges20,core_adjacent
zaqef_qatan,munah,80,0.05521049,0.04410143,852,-772,0.09389671,164.558067,0.486151,exodus,explore_k3_7_edges20,core_adjacent
sof_pasuq,pashta,79,0.0699115,0.05962264,0,79,inf,93.736305,0.84279,exodus,explore_k3_7_edges20,core_adjacent
