from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5-6_A6-7_C0,P<=4_A0-1_C0,32,0.10457516,0.0673512,1.55268447,19.84,3.98664437,3.050184,0.00990099,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A4_C0,236,0.24789916,0.21249565,1.16660817,201.69,12.30151095,2.789088,0.01980198,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A2_C0,68,0.22222222,0.16568047,1.34126984,50.54,6.48451146,2.69257,0.00990099,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A5_C0,30,0.09615385,0.0673512,1.42764858,20.11,3.96676852,2.493213,0.02970297,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,359,0.2355643,0.21249565,1.1085606,323.81,14.22666084,2.473525,0.02970297,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A0-1_C0,37,0.09560724,0.0673512,1.41953275,25.73,4.828064,2.334269,0.01980198,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,226,0.1852459,0.16568047,1.11809133,202.89,11.70849213,1.973781,0.02970297,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,39,0.27464789,0.21249565,1.29248711,29.78,4.82958057,1.909068,0.04950495,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A6-7_C0,29,0.0749354,0.05325444,1.4071203,20.6,4.69256881,1.790064,0.07920792,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A3_C0,98,0.31410256,0.26505395,1.18505143,82.62,8.67572953,1.772762,0.02970297,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A5_C0,60,0.06302521,0.05429864,1.16071429,51.3,6.26598965,1.388448,0.0990099,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A3_C0,114,0.29457364,0.26505395,1.11137239,103.98,8.15379939,1.228875,0.11881188,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A2_C0,52,0.18705036,0.16568047,1.12898253,46.1,5.19226309,1.136306,0.13861386,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,36,0.0295082,0.02471284,1.19404295,30.94,4.53676341,1.115333,0.16831683,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A5_C0,31,0.08010336,0.0673512,1.18933825,25.73,4.8406006,1.088708,0.17821782,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,31,0.08010336,0.0673512,1.18933825,25.86,5.01919548,1.024069,0.18811881,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A0-1_C0,89,0.07295082,0.0673512,1.08314059,82.73,6.9192383,0.906169,0.16831683,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A2_C0,71,0.18346253,0.16568047,1.10732743,64.34,7.37210138,0.903406,0.22772277,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A5_C0,24,0.0620155,0.05429864,1.14211886,20.85,4.11789639,0.764954,0.2970297,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A4_C0,63,0.05163934,0.04838148,1.06733695,57.72,6.98205492,0.756224,0.28712871,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A3_C0,262,0.27521008,0.26505395,1.03831723,252.16,13.03896259,0.754661,0.24752475,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,taam_events
