book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,1,minor,robustness,1,178,69,run_preserving_circular_translation,500,0.38764044943820225,0.31606218359622495,0.0715782658419773,1.2264689341430983,0.033661562703060345,2.1264094740161825,0.01996007984031936,0.9820359281437125,0.03992015968063872
genesis,1,major,robustness,1,178,37,run_preserving_circular_translation,500,0.20786516853932585,0.15578385070943798,0.05208131782988787,1.334317823013811,0.027037202803856603,1.9262835067560673,0.033932135728542916,0.9680638722554891,0.06786427145708583
genesis,1,verse,exploratory,1,178,23,run_preserving_circular_translation,500,0.12921348314606743,0.07908662316367412,0.0501268599823933,1.6338222315884319,0.018543444604972616,2.7032118924092057,0.005988023952095809,0.9960079840319361,0.011976047904191617
genesis,2,minor,robustness,1,193,103,run_preserving_circular_translation,500,0.533678756476684,0.3353228648984568,0.19835589157822714,1.5915370299555733,0.03492562241647122,5.679380290290283,0.001996007984031936,1.0,0.003992015968063872
genesis,2,major,robustness,1,193,53,run_preserving_circular_translation,500,0.27461139896373055,0.17717128721131553,0.09744011175241502,1.549976879922966,0.026541910462241365,3.671179280445307,0.001996007984031936,1.0,0.003992015968063872
genesis,2,verse,exploratory,1,193,27,run_preserving_circular_translation,500,0.13989637305699482,0.08874718957250571,0.0511491834844891,1.5763470790553953,0.019560785486580162,2.6148839227126346,0.013972055888223553,0.9880239520958084,0.027944111776447105
genesis,3,minor,robustness,1,174,72,run_preserving_circular_translation,500,0.41379310344827586,0.3259695886699662,0.08782351477830963,1.2694224180134428,0.033759520310446135,2.6014443917064365,0.005988023952095809,0.9960079840319361,0.011976047904191617
genesis,3,major,robustness,1,174,51,run_preserving_circular_translation,500,0.29310344827586204,0.1903064219619765,0.10279702631388554,1.5401658296871585,0.026472624827850705,3.8831444551632535,0.001996007984031936,1.0,0.003992015968063872
genesis,3,verse,exploratory,1,174,27,run_preserving_circular_translation,500,0.15517241379310345,0.10070457337180708,0.054467840421296376,1.540867595160728,0.020104538871108607,2.7092310234267463,0.005988023952095809,0.9960079840319361,0.011976047904191617
genesis,4,minor,robustness,1,198,84,run_preserving_circular_translation,500,0.42424242424242425,0.3324994014295093,0.09174302281291496,1.2759193623160994,0.03460912626970603,2.6508332541529436,0.003992015968063872,0.998003992015968,0.007984031936127744
genesis,4,major,robustness,1,198,33,run_preserving_circular_translation,500,0.16666666666666666,0.17284863312649196,-0.0061819664598253,0.9642347969549676,0.02636353974599368,-0.23448924231673932,0.5988023952095808,0.4171656686626746,0.8343313373253493
genesis,4,verse,exploratory,1,198,17,run_preserving_circular_translation,500,0.08585858585858586,0.08811943065507918,-0.0022608447964933276,0.9743434021340558,0.019065829886910475,-0.1185809802092851,0.562874251497006,0.4411177644710579,0.8822355289421158
genesis,5,minor,robustness,1,163,69,run_preserving_circular_translation,500,0.4233128834355828,0.3217272714191161,0.10158561201646671,1.3157507026630966,0.03462047748886291,2.9342637474929645,0.00998003992015968,0.9940119760479041,0.01996007984031936
genesis,5,major,robustness,1,163,38,run_preserving_circular_translation,500,0.2331288343558282,0.16709759553010148,0.06603123882572673,1.3951657031105014,0.02791166432645937,2.36572201691073,0.00998003992015968,0.9920159680638723,0.01996007984031936
genesis,5,verse,exploratory,1,163,21,run_preserving_circular_translation,500,0.12883435582822086,0.08504564975250734,0.04378870607571353,1.5148847260635168,0.020456864379423546,2.1405385137987336,0.01996007984031936,0.9820359281437125,0.03992015968063872
genesis,6,minor,robustness,1,162,51,run_preserving_circular_translation,500,0.3148148148148148,0.30977227383941536,0.005042540975399468,1.0162782191992221,0.03309585129713297,0.1523617244387454,0.43313373253493015,0.5728542914171657,0.8662674650698603
genesis,6,major,robustness,1,162,29,run_preserving_circular_translation,500,0.17901234567901234,0.15862638011807517,0.020385965560937164,1.1285156072133946,0.026087357457631685,0.7814500029006727,0.20958083832335328,0.7924151696606786,0.41916167664670656
genesis,6,verse,exploratory,1,162,10,run_preserving_circular_translation,500,0.06172839506172839,0.08011598532755138,-0.018387590265822984,0.7704878721687567,0.01903145521465796,-0.96616838063234,0.8243512974051896,0.17964071856287425,0.3592814371257485
genesis,7,minor,robustness,1,169,64,run_preserving_circular_translation,500,0.378698224852071,0.3186203759789236,0.06007784887314738,1.1885562048207534,0.03251625499926737,1.8476250993388077,0.03592814371257485,0.9660678642714571,0.0718562874251497
genesis,7,major,robustness,1,169,26,run_preserving_circular_translation,500,0.15384615384615385,0.15524151357605087,-0.0013953597298970166,0.9910116843249313,0.026110650238768403,-0.05344025204800237,0.5109780439121756,0.5029940119760479,1.0
genesis,7,verse,exploratory,1,169,15,run_preserving_circular_translation,500,0.08875739644970414,0.08137179653206808,0.007385599917636057,1.0907636334995436,0.01911258792947704,0.38642594843188993,0.34331337325349304,0.6626746506986028,0.6866267465069861
genesis,8,minor,robustness,1,144,57,run_preserving_circular_translation,500,0.3958333333333333,0.3218997386203962,0.07393359471293709,1.2296789523029843,0.034043006577668414,2.171770420578427,0.015968063872255488,0.9860279441117764,0.031936127744510975
genesis,8,major,robustness,1,144,32,run_preserving_circular_translation,500,0.2222222222222222,0.17014345892533575,0.05207876329688646,1.3060873666600386,0.02647720530190553,1.966928257837636,0.023952095808383235,0.9800399201596807,0.04790419161676647
genesis,8,verse,exploratory,1,144,16,run_preserving_circular_translation,500,0.1111111111111111,0.08686392644383868,0.024247184667272423,1.2791398646128354,0.019875605503159345,1.2199469678253672,0.11976047904191617,0.8882235528942116,0.23952095808383234
genesis,9,minor,robustness,1,155,49,run_preserving_circular_translation,500,0.3161290322580645,0.31987740878842447,-0.003748376530359976,0.9882818341421564,0.03363551212920538,-0.11144104231150677,0.5189620758483033,0.48303393213572854,0.9660678642714571
genesis,9,major,robustness,1,155,22,run_preserving_circular_translation,500,0.14193548387096774,0.15739662500187282,-0.015461141130905076,0.9017695510896685,0.026508684035470256,-0.5832481578571428,0.7125748502994012,0.2894211576846307,0.5788423153692615
genesis,9,verse,exploratory,1,155,10,run_preserving_circular_translation,500,0.06451612903225806,0.08022598761363432,-0.01570985858137626,0.8041799291143112,0.018077882082506522,-0.8690099044610023,0.7844311377245509,0.21756487025948104,0.4351297405189621
genesis,10,minor,robustness,1,164,58,run_preserving_circular_translation,500,0.35365853658536583,0.322075781715432,0.03158275486993384,1.0980600115342996,0.03390714942282069,0.9314482463889324,0.1936127744510978,0.810379241516966,0.3872255489021956
genesis,10,major,robustness,1,164,28,run_preserving_circular_translation,500,0.17073170731707318,0.1651834506639517,0.005548256653121475,1.033588453509237,0.02666219135836179,0.20809454776422315,0.4151696606786427,0.5948103792415169,0.8303393213572854
genesis,10,verse,exploratory,1,164,9,run_preserving_circular_translation,500,0.054878048780487805,0.08638319245299991,-0.03150514367251211,0.6352861849872742,0.019241199616797103,-1.6373793890173498,0.9540918163672655,0.0499001996007984,0.0998003992015968
genesis,11,minor,robustness,1,182,61,run_preserving_circular_translation,500,0.33516483516483514,0.3000435458569238,0.03512128930791136,1.117053973641076,0.03402822290001917,1.0321223477083659,0.16367265469061876,0.8403193612774451,0.3273453093812375
genesis,11,major,robustness,1,182,26,run_preserving_circular_translation,500,0.14285714285714285,0.15572315041090545,-0.012866007553762604,0.9173789669691811,0.02653366750092137,-0.4848936753019852,0.6906187624750499,0.3213572854291417,0.6427145708582834
genesis,11,verse,exploratory,1,182,13,run_preserving_circular_translation,500,0.07142857142857142,0.07869042207918617,-0.007261850650614743,0.9077162066393907,0.018610592198161545,-0.3901998696920621,0.6606786427145709,0.3532934131736527,0.7065868263473054
genesis,12,minor,robustness,1,176,63,run_preserving_circular_translation,500,0.35795454545454547,0.31750945206837045,0.040445093386175024,1.1273823286919529,0.034707065122620055,1.1653273834385742,0.11776447105788423,0.8842315369261478,0.23552894211576847
genesis,12,major,robustness,1,176,37,run_preserving_circular_translation,500,0.21022727272727273,0.16479316675667313,0.0454341059705996,1.2757038223416493,0.02747178018853073,1.6538464438343174,0.05389221556886228,0.9481037924151696,0.10778443113772455
genesis,12,verse,exploratory,1,176,21,run_preserving_circular_translation,500,0.11931818181818182,0.08416256547967274,0.03515561633850908,1.417710844936161,0.019786425139591612,1.7767543197161226,0.03592814371257485,0.9660678642714571,0.0718562874251497
genesis,13,minor,robustness,1,204,65,run_preserving_circular_translation,500,0.31862745098039214,0.3181513428878381,0.0004761080925540506,1.0014964830518471,0.03345706808211932,0.014230418857547777,0.49700598802395207,0.5049900199600799,0.9940119760479041
genesis,13,major,robustness,1,204,35,run_preserving_circular_translation,500,0.1715686274509804,0.1753333959840386,-0.0037647685330582104,0.9785279437957106,0.026158065411131744,-0.1439238137028317,0.5588822355289421,0.44510978043912175,0.8902195608782435
