metric,observed,null_mean,null_sd,z,empirical_p,book,level,shape_field,n_segments,vocab_size,split_mode,transition_accent_mode,empirical_p_tail,n_train_bigrams,n_test_bigrams
unigram_entropy,3.17760142,3.17760142,0,0,,leviticus,minor,transition_bucket_shape,3078,22,random,taam_events,,,
conditional_entropy,3.08752705,3.11269694,0.00474249,-5.30731,0.00199601,leviticus,minor,transition_bucket_shape,3078,22,random,taam_events,lower,,
entropy_reduction,0.09007437,0.06490448,0.00474249,5.30731,0.00199601,leviticus,minor,transition_bucket_shape,3078,22,random,taam_events,upper,,
in_sample_next_accuracy,0.25316867,0.25322002,0.00192122,-0.026727,0.47305389,leviticus,minor,transition_bucket_shape,3078,22,random,taam_events,upper,,
cv_next_accuracy,0.19318182,0.24335714,0.01581216,-3.173211,1.0,leviticus,minor,transition_bucket_shape,3078,22,random,taam_events,upper,2461,616
unigram_entropy,4.44531273,4.44531273,0,0,,leviticus,minor,transition_exact_shape,3078,67,random,taam_events,,,
conditional_entropy,4.02896952,4.07411222,0.01000888,-4.510266,0.00199601,leviticus,minor,transition_exact_shape,3078,67,random,taam_events,lower,,
entropy_reduction,0.41634321,0.37120051,0.01000888,4.510266,0.00199601,leviticus,minor,transition_exact_shape,3078,67,random,taam_events,upper,,
in_sample_next_accuracy,0.15502112,0.15427364,0.00258209,0.289487,0.38722555,leviticus,minor,transition_exact_shape,3078,67,random,taam_events,upper,,
cv_next_accuracy,0.09090909,0.11627273,0.01215765,-2.086229,0.98602794,leviticus,minor,transition_exact_shape,3078,67,random,taam_events,upper,2461,616
unigram_entropy,4.73415216,4.73415216,0,0,,leviticus,major,transition_bucket_shape,1670,54,random,taam_events,,,
conditional_entropy,4.0663173,4.11581308,0.0146352,-3.381968,0.00199601,leviticus,major,transition_bucket_shape,1670,54,random,taam_events,lower,,
entropy_reduction,0.66783486,0.61833908,0.0146352,3.381968,0.00199601,leviticus,major,transition_bucket_shape,1670,54,random,taam_events,upper,,
in_sample_next_accuracy,0.14679449,0.13675734,0.00380035,2.64111,0.01596806,leviticus,major,transition_bucket_shape,1670,54,random,taam_events,upper,,
cv_next_accuracy,0.0748503,0.07097006,0.01350996,0.287213,0.41916168,leviticus,major,transition_bucket_shape,1670,54,random,taam_events,upper,1335,334
unigram_entropy,6.70466184,6.70466184,0,0,,leviticus,major,transition_exact_shape,1670,252,random,taam_events,,,
conditional_entropy,3.61168106,3.65217698,0.01669053,-2.426281,0.01397206,leviticus,major,transition_exact_shape,1670,252,random,taam_events,lower,,
entropy_reduction,3.09298078,3.05248486,0.01669053,2.426281,0.01397206,leviticus,major,transition_exact_shape,1670,252,random,taam_events,upper,,
in_sample_next_accuracy,0.21390054,0.20214739,0.00333613,3.522993,0.00199601,leviticus,major,transition_exact_shape,1670,252,random,taam_events,upper,,
cv_next_accuracy,0.04491018,0.02851497,0.0087405,1.875775,0.07185629,leviticus,major,transition_exact_shape,1670,252,random,taam_events,upper,1335,334
unigram_entropy,4.43145154,4.43145154,0,0,,leviticus,verse,transition_bucket_shape,857,38,random,taam_events,,,
conditional_entropy,3.73875473,3.76756268,0.02306217,-1.249143,0.11576846,leviticus,verse,transition_bucket_shape,857,38,random,taam_events,lower,,
entropy_reduction,0.69269681,0.66388886,0.02306217,1.249143,0.11576846,leviticus,verse,transition_bucket_shape,857,38,random,taam_events,upper,,
in_sample_next_accuracy,0.17873832,0.16664019,0.0055298,2.187808,0.03193613,leviticus,verse,transition_bucket_shape,857,38,random,taam_events,upper,,
cv_next_accuracy,0.11627907,0.0869186,0.02130666,1.377995,0.11776447,leviticus,verse,transition_bucket_shape,857,38,random,taam_events,upper,684,172
unigram_entropy,7.77125121,7.77125121,0,0,,leviticus,verse,transition_exact_shape,857,320,random,taam_events,,,
conditional_entropy,1.95301022,1.94607676,0.00754576,0.918856,0.81237525,leviticus,verse,transition_exact_shape,857,320,random,taam_events,lower,,
entropy_reduction,5.81824098,5.82517444,0.00754576,-0.918856,0.81237525,leviticus,verse,transition_exact_shape,857,320,random,taam_events,upper,,
in_sample_next_accuracy,0.38084112,0.38441822,0.0030944,-1.155991,0.91417166,leviticus,verse,transition_exact_shape,857,320,random,taam_events,upper,,
cv_next_accuracy,0.00581395,0.01073256,0.00795903,-0.617991,0.83433134,leviticus,verse,transition_exact_shape,857,320,random,taam_events,upper,684,172
