book,block_id,level,metric_role,eligible_for_distribution_summary,observed_burst_ends,observed_boundary_hits,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,1,minor,robustness,1,234,84,run_preserving_circular_translation,1000,0.358974358974359,0.3124457685297074,0.046528590444651574,1.148917332641769,0.028975009637672137,1.605817945411724,0.055944055944055944,0.9460539460539461,0.11188811188811189
genesis,1,major,robustness,1,234,41,run_preserving_circular_translation,1000,0.1752136752136752,0.1563232355433537,0.0188904396703215,1.1208421742593893,0.02208159532625398,0.8554834644515767,0.1978021978021978,0.8041958041958042,0.3956043956043956
genesis,1,verse,exploratory,1,234,22,run_preserving_circular_translation,1000,0.09401709401709402,0.08014762050094323,0.013869473516150782,1.173049099018324,0.016494845746700414,0.8408368122463464,0.20279720279720279,0.7982017982017982,0.40559440559440557
genesis,2,minor,robustness,1,225,101,run_preserving_circular_translation,1000,0.4488888888888889,0.3364315705725863,0.11245731831630257,1.3342650576011845,0.03133194175984859,3.589222754793159,0.000999000999000999,1.0,0.001998001998001998
genesis,2,major,robustness,1,225,48,run_preserving_circular_translation,1000,0.21333333333333335,0.1787093502681366,0.034623983065196734,1.193744664245305,0.024548857353757923,1.4104111880342374,0.07592407592407592,0.9250749250749251,0.15184815184815184
genesis,2,verse,exploratory,1,225,32,run_preserving_circular_translation,1000,0.14222222222222222,0.09032028282872767,0.05190193939349455,1.5746432337010619,0.017518615482476387,2.9626735882987614,0.001998001998001998,0.999000999000999,0.003996003996003996
genesis,3,minor,robustness,1,224,97,run_preserving_circular_translation,1000,0.4330357142857143,0.32538801096239145,0.10764770332332285,1.3308287327641117,0.029898561133697047,3.600430898395273,0.000999000999000999,1.0,0.001998001998001998
genesis,3,major,robustness,1,224,61,run_preserving_circular_translation,1000,0.27232142857142855,0.18869801706183031,0.08362341150959823,1.4431599908238437,0.024560975838893103,3.4047267526389504,0.000999000999000999,1.0,0.001998001998001998
genesis,3,verse,exploratory,1,224,35,run_preserving_circular_translation,1000,0.15625,0.09903731274769242,0.057212687252307576,1.5776882032134967,0.018325116165465238,3.1220913818886595,0.002997002997002997,0.998001998001998,0.005994005994005994
genesis,4,minor,robustness,1,220,79,run_preserving_circular_translation,1000,0.35909090909090907,0.32916258121965597,0.029928327871253102,1.0909226308785123,0.030505395442136273,0.9810830981693788,0.17082917082917082,0.8311688311688312,0.34165834165834164
genesis,4,major,robustness,1,220,43,run_preserving_circular_translation,1000,0.19545454545454546,0.17069897978922696,0.024755565665318502,1.145024684364756,0.023733057887575605,1.0430836929057585,0.15484515484515485,0.8491508491508492,0.3096903096903097
genesis,4,verse,exploratory,1,220,20,run_preserving_circular_translation,1000,0.09090909090909091,0.08714593991208956,0.0037631509970013494,1.0431821723513168,0.016680670335438606,0.2255995065741703,0.41058941058941056,0.5994005994005994,0.8211788211788211
genesis,5,minor,robustness,1,222,88,run_preserving_circular_translation,1000,0.3963963963963964,0.325699714389686,0.07069668200671042,1.2170609272384096,0.030414033309857175,2.324475721008619,0.011988011988011988,0.989010989010989,0.023976023976023976
genesis,5,major,robustness,1,222,50,run_preserving_circular_translation,1000,0.22522522522522523,0.17018084222345167,0.055044383001773556,1.3234464131367907,0.023556707361078674,2.3366755870440565,0.014985014985014986,0.986013986013986,0.029970029970029972
genesis,5,verse,exploratory,1,222,24,run_preserving_circular_translation,1000,0.10810810810810811,0.08615205854465786,0.02195604956345025,1.2548522918006548,0.01710229210057894,1.2838074238427377,0.10789210789210789,0.8951048951048951,0.21578421578421578
