from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A3_C0,P<=4_A3_C0,406,0.2664042,0.26505395,1.00509424,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,359,0.2355643,0.21249565,1.1085606,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A3_C0,330,0.2704918,0.26505395,1.02051602,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A3_C0,262,0.27521008,0.26505395,1.03831723,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A2_C0,254,0.16666667,0.16568047,1.00595238,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A4_C0,236,0.24789916,0.21249565,1.16660817,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,226,0.1852459,0.16568047,1.11809133,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A4_C0,224,0.18360656,0.21249565,0.86404855,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A2_C0,135,0.14180672,0.16568047,0.85590486,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A3_C0,114,0.29457364,0.26505395,1.11137239,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A0-1_C0,107,0.07020997,0.0673512,1.04244576,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A3_C0,98,0.31410256,0.26505395,1.18505143,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A5_C0,92,0.06036745,0.0673512,0.8963085,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A0-1_C0,89,0.07295082,0.0673512,1.08314059,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A4_C0,87,0.2248062,0.21249565,1.0579332,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A4_C0,82,0.2118863,0.21249565,0.99713244,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A3_C0,81,0.20930233,0.26505395,0.78965933,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A5_C0,80,0.05249344,0.05429864,0.96675416,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,78,0.06393443,0.0673512,0.94926928,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A4_C0,77,0.05052493,0.04838148,1.04430314,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A6-7_C0,74,0.04855643,0.05325444,0.91178186,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A2_C0,71,0.18346253,0.16568047,1.10732743,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A2_C0,68,0.22222222,0.16568047,1.34126984,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A3_C0,67,0.21895425,0.26505395,0.82607427,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A5_C0,64,0.05245902,0.05429864,0.96612022,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A4_C0,63,0.05163934,0.04838148,1.06733695,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A5_C0,62,0.06512605,0.0673512,0.96696198,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A5_C0,60,0.06302521,0.05429864,1.16071429,genesis,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A4_C0,59,0.21223022,0.21249565,0.99875088,genesis,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A3_C0,56,0.20143885,0.26505395,0.75999188,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A6-7_C0,55,0.04508197,0.05325444,0.84653916,genesis,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A2_C0,52,0.18705036,0.16568047,1.12898253,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A2_C0,52,0.16666667,0.16568047,1.00595238,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A6-7_C0,52,0.05462185,0.05325444,1.02567694,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A4_C0,51,0.16346154,0.21249565,0.76924652,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A4_C0,48,0.15686275,0.21249565,0.73819274,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A2_C0,47,0.12144703,0.16568047,0.73301956,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A4_C0,43,0.04516807,0.04838148,0.93358171,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A0-1_C0,40,0.04201681,0.0673512,0.62384644,genesis,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,39,0.27464789,0.21249565,1.29248711,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A0-1_C0,37,0.09560724,0.0673512,1.41953275,genesis,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,36,0.0295082,0.02471284,1.19404295,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A0-1_C0,32,0.10457516,0.0673512,1.55268447,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,31,0.08010336,0.0673512,1.18933825,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A5_C0,31,0.08010336,0.0673512,1.18933825,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A5_C0,30,0.09615385,0.0673512,1.42764858,genesis,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A6-7_C0,29,0.0749354,0.05325444,1.4071203,genesis,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A3_C0,28,0.1971831,0.26505395,0.74393571,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A6-7_C0,27,0.01771654,0.02471284,0.71689586,genesis,minor,transition_bucket_shape,taam_events
