source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
merkha,tipeha,1473,0.6119651,0.4962938,630,843,2.33809524,388.470691,3.791792,genesis,control_exclude_external,core_adjacent
munah,zaqef_qatan,1159,0.50435161,0.6197861,112,1047,10.34821429,233.673736,4.959907,genesis,control_exclude_external,core_adjacent
tipeha,meteg,937,0.31548822,0.35159475,294,643,3.18707483,430.399674,2.177046,genesis,control_exclude_external,core_adjacent
tipeha,atnah,808,0.27205387,0.55115962,213,595,3.79342723,236.760196,3.412736,genesis,control_exclude_external,core_adjacent
merkha,meteg,748,0.31076028,0.28067542,360,388,2.07777778,348.812126,2.144421,genesis,control_exclude_external,core_adjacent
pashta,munah,735,0.43235294,0.32974428,0,735,inf,206.052202,3.567057,genesis,control_exclude_external,core_adjacent
zaqef_qatan,tipeha,719,0.38906926,0.24225067,0,719,inf,298.252529,2.410709,genesis,control_exclude_external,core_adjacent
mahapakh,pashta,706,0.88693467,0.41676505,14,692,50.42857143,73.323763,9.628529,genesis,control_exclude_external,core_adjacent
tipeha,merkha,630,0.21212121,0.26206323,1473,-843,0.42769857,388.247961,1.622674,genesis,control_exclude_external,core_adjacent
tipeha,munah,593,0.1996633,0.26603858,1,592,593.0,359.985318,1.647289,genesis,control_exclude_external,core_adjacent
munah,atnah,581,0.25282855,0.39631651,221,360,2.62895928,183.190212,3.171567,genesis,control_exclude_external,core_adjacent
zaqef_qatan,merkha,579,0.31331169,0.24084859,0,579,inf,241.576509,2.396756,genesis,control_exclude_external,core_adjacent
pashta,zaqef_qatan,551,0.32411765,0.29465241,65,486,8.47692308,172.865688,3.187446,genesis,control_exclude_external,core_adjacent
tevir,merkha,378,0.60674157,0.15723794,160,218,2.3625,81.440566,4.641422,genesis,control_exclude_external,core_adjacent
meteg,munah,377,0.14766941,0.16913414,116,261,3.25,309.441925,1.218322,genesis,control_exclude_external,core_adjacent
meteg,merkha,360,0.14101058,0.14975042,748,-388,0.48128342,333.736378,1.078696,genesis,control_exclude_external,core_adjacent
munah,revia,312,0.13577023,0.52702703,24,288,13.0,73.975856,4.217592,genesis,control_exclude_external,core_adjacent
pashta,pashta,297,0.17470588,0.17532468,297,0,1.0,156.595976,1.8966,genesis,control_exclude_external,core_adjacent
atnah,merkha,296,0.20948337,0.12312812,0,296,inf,184.711909,1.602495,genesis,control_exclude_external,core_adjacent
meteg,tipeha,294,0.11515864,0.0990566,937,-643,0.31376734,412.033931,0.713533,genesis,control_exclude_external,core_adjacent
meteg,pashta,289,0.11320016,0.17060213,93,196,3.10752688,235.17031,1.228897,genesis,control_exclude_external,core_adjacent
meteg,mahapakh,234,0.09165687,0.31621622,88,146,2.65909091,102.730832,2.277797,genesis,control_exclude_external,core_adjacent
meteg,meteg,230,0.09009009,0.08630394,230,0,1.0,369.969821,0.621672,genesis,control_exclude_external,core_adjacent
atnah,munah,221,0.15640481,0.0991476,581,-360,0.38037866,171.265742,1.290392,genesis,control_exclude_external,core_adjacent
tevir,tipeha,218,0.34991974,0.07345013,0,218,inf,100.547254,2.168135,genesis,control_exclude_external,core_adjacent
atnah,tipeha,213,0.1507431,0.0717655,808,-595,0.26361386,228.046982,0.934018,genesis,control_exclude_external,core_adjacent
darga,tevir,212,0.84126984,0.34028892,0,212,inf,8.537031,24.832989,genesis,control_exclude_external,core_adjacent
qadma,geresh,200,0.43763676,0.83333333,7,193,28.57142857,5.964111,33.533917,genesis,control_exclude_external,core_adjacent
revia,pashta,187,0.33156028,0.11038961,2,185,93.5,51.953018,3.599406,genesis,control_exclude_external,core_adjacent
meteg,qadma,165,0.06462985,0.39759036,21,144,7.85714286,57.612561,2.863959,genesis,control_exclude_external,core_adjacent
merkha,tevir,160,0.06647279,0.25682183,378,-218,0.42328042,81.542197,1.962174,genesis,control_exclude_external,core_adjacent
atnah,meteg,150,0.10615711,0.05628518,77,73,1.94805195,204.765905,0.732544,genesis,control_exclude_external,core_adjacent
revia,mahapakh,141,0.25,0.19054054,0,141,inf,22.694943,6.212838,genesis,control_exclude_external,core_adjacent
