taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
zaqef_gadol,126,0.00779655,126,126,8,5,1.35226673,0.45075558,1.75952984,0.75778826,tipeha,0.69047619,zaqef_qatan,0.35714286,numbers,explore_k3_7_edges20,core_projected
zaqef_qatan,1357,0.08396758,1357,1357,13,8,2.30693327,0.62342139,1.56915216,0.52305072,tipeha,0.44436256,munah,0.55711127,numbers,explore_k3_7_edges20,core_projected
atnah,912,0.06439314,912,912,15,5,3.31645285,0.84887272,1.21968843,0.52529122,munah,0.1875,tipeha,0.5625,deuteronomy,explore_k3_7_edges20,core_projected
darga,209,0.01475676,209,209,7,11,1.13913854,0.40576933,2.96501474,0.85708147,tevir,0.77033493,qadma,0.23923445,deuteronomy,explore_k3_7_edges20,core_projected
geresh,245,0.01729859,245,245,9,10,2.5501462,0.80448156,1.12193925,0.33773737,munah,0.28571429,qadma,0.8244898,deuteronomy,explore_k3_7_edges20,core_projected
mahapakh,573,0.04045753,573,573,6,11,0.72096895,0.27890886,2.98862709,0.86390697,pashta,0.84991274,atnah,0.18150087,deuteronomy,explore_k3_7_edges20,core_projected
merkha,1599,0.11289981,1599,1599,11,17,1.48551189,0.42940924,2.79234604,0.68314897,tipeha,0.61601001,zaqef_qatan,0.26078799,deuteronomy,explore_k3_7_edges20,core_projected
meteg,1794,0.12666808,1794,1794,16,17,2.68454624,0.67113656,2.98461369,0.73018736,sof_pasuq,0.52619844,tipeha,0.33054627,deuteronomy,explore_k3_7_edges20,core_projected
munah,1812,0.127939,1812,1811,16,15,2.47767038,0.61941759,2.95843831,0.75723603,zaqef_qatan,0.43598234,pashta,0.31363887,deuteronomy,explore_k3_7_edges20,core_projected
paseq,82,0.00578973,82,82,11,6,2.00232697,0.5788023,1.13865491,0.44049185,munah,0.65853659,munah,0.80487805,deuteronomy,explore_k3_7_edges20,core_projected
pashta,1218,0.08599873,1218,1218,11,12,1.85357439,0.53580316,2.62292503,0.73164643,munah,0.46633826,mahapakh,0.3998358,deuteronomy,explore_k3_7_edges20,core_projected
qadma,440,0.03106686,440,440,10,15,2.21633642,0.66718374,2.95426288,0.75616729,geresh,0.45909091,telisha_qetana,0.24772727,deuteronomy,explore_k3_7_edges20,core_projected
revia,512,0.03615053,512,512,12,7,2.92148905,0.81492876,2.06233845,0.73461978,pashta,0.24804688,munah,0.53125,deuteronomy,explore_k3_7_edges20,core_projected
sof_pasuq,954,0.06735861,953,954,14,5,3.26504699,0.85756307,0.10332771,0.04450082,munah,0.25078699,meteg,0.98951782,deuteronomy,explore_k3_7_edges20,core_projected
telisha_qetana,118,0.00833157,118,118,6,12,0.54593041,0.21119471,2.71197862,0.7564873,qadma,0.92372881,sof_pasuq,0.30508475,deuteronomy,explore_k3_7_edges20,core_projected
tevir,477,0.03367931,477,477,7,11,1.16641948,0.415487,2.57844078,0.74533654,merkha,0.66666667,darga,0.33752621,deuteronomy,explore_k3_7_edges20,core_projected
tipeha,1855,0.13097508,1855,1855,7,13,1.99950736,0.71223889,1.95551329,0.5284543,meteg,0.31967655,merkha,0.5309973,deuteronomy,explore_k3_7_edges20,core_projected
zaqef_gadol,70,0.00494246,70,70,9,5,2.22458978,0.70177994,1.9193317,0.82661117,merkha,0.44285714,zaqef_qatan,0.44285714,deuteronomy,explore_k3_7_edges20,core_projected
zaqef_qatan,1293,0.09129422,1293,1293,15,10,2.56953835,0.65769396,1.42485908,0.42892532,tipeha,0.35885538,munah,0.61098221,deuteronomy,explore_k3_7_edges20,core_projected
