taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,808,0.55115962,genesis,explore_k3_7_edges20,core_projected
atnah,2,munah,575,0.39222374,genesis,explore_k3_7_edges20,core_projected
atnah,3,meteg,70,0.04774898,genesis,explore_k3_7_edges20,core_projected
atnah,4,sof_pasuq,7,0.0047749,genesis,explore_k3_7_edges20,core_projected
atnah,5,paseq,6,0.00409277,genesis,explore_k3_7_edges20,core_projected
darga,1,sof_pasuq,77,0.30434783,genesis,explore_k3_7_edges20,core_projected
darga,2,qadma,44,0.17391304,genesis,explore_k3_7_edges20,core_projected
darga,3,atnah,32,0.12648221,genesis,explore_k3_7_edges20,core_projected
darga,4,zaqef_qatan,23,0.09090909,genesis,explore_k3_7_edges20,core_projected
darga,5,meteg,22,0.08695652,genesis,explore_k3_7_edges20,core_projected
darga,6,geresh,19,0.07509881,genesis,explore_k3_7_edges20,core_projected
darga,7,revia,18,0.07114625,genesis,explore_k3_7_edges20,core_projected
darga,8,munah,15,0.05928854,genesis,explore_k3_7_edges20,core_projected
darga,9,zaqef_gadol,2,0.00790514,genesis,explore_k3_7_edges20,core_projected
darga,10,paseq,1,0.00395257,genesis,explore_k3_7_edges20,core_projected
geresh,1,qadma,200,0.81967213,genesis,explore_k3_7_edges20,core_projected
geresh,2,meteg,18,0.07377049,genesis,explore_k3_7_edges20,core_projected
geresh,3,atnah,11,0.04508197,genesis,explore_k3_7_edges20,core_projected
geresh,4,sof_pasuq,11,0.04508197,genesis,explore_k3_7_edges20,core_projected
geresh,5,munah,3,0.01229508,genesis,explore_k3_7_edges20,core_projected
geresh,6,revia,1,0.00409836,genesis,explore_k3_7_edges20,core_projected
mahapakh,1,sof_pasuq,192,0.24120603,genesis,explore_k3_7_edges20,core_projected
mahapakh,2,revia,149,0.18718593,genesis,explore_k3_7_edges20,core_projected
mahapakh,3,atnah,136,0.17085427,genesis,explore_k3_7_edges20,core_projected
mahapakh,4,qadma,121,0.15201005,genesis,explore_k3_7_edges20,core_projected
mahapakh,5,meteg,65,0.08165829,genesis,explore_k3_7_edges20,core_projected
mahapakh,6,geresh,43,0.0540201,genesis,explore_k3_7_edges20,core_projected
mahapakh,7,zaqef_qatan,40,0.05025126,genesis,explore_k3_7_edges20,core_projected
mahapakh,8,munah,36,0.04522613,genesis,explore_k3_7_edges20,core_projected
mahapakh,9,pashta,14,0.01758794,genesis,explore_k3_7_edges20,core_projected
merkha,1,tipeha,629,0.26121262,genesis,explore_k3_7_edges20,core_projected
merkha,2,zaqef_qatan,580,0.24086379,genesis,explore_k3_7_edges20,core_projected
merkha,3,tevir,378,0.15697674,genesis,explore_k3_7_edges20,core_projected
merkha,4,atnah,297,0.12333887,genesis,explore_k3_7_edges20,core_projected
merkha,5,sof_pasuq,205,0.08513289,genesis,explore_k3_7_edges20,core_projected
merkha,6,meteg,156,0.06478405,genesis,explore_k3_7_edges20,core_projected
merkha,7,zaqef_gadol,87,0.03612957,genesis,explore_k3_7_edges20,core_projected
merkha,8,qadma,33,0.01370432,genesis,explore_k3_7_edges20,core_projected
merkha,9,revia,29,0.01204319,genesis,explore_k3_7_edges20,core_projected
merkha,10,geresh,9,0.00373754,genesis,explore_k3_7_edges20,core_projected
merkha,11,munah,4,0.00166113,genesis,explore_k3_7_edges20,core_projected
merkha,12,pashta,1,0.00041528,genesis,explore_k3_7_edges20,core_projected
meteg,1,tipeha,937,0.34768089,genesis,explore_k3_7_edges20,core_projected
meteg,2,merkha,747,0.27717996,genesis,explore_k3_7_edges20,core_projected
meteg,3,atnah,156,0.05788497,genesis,explore_k3_7_edges20,core_projected
meteg,4,sof_pasuq,151,0.05602968,genesis,explore_k3_7_edges20,core_projected
meteg,5,zaqef_qatan,137,0.05083488,genesis,explore_k3_7_edges20,core_projected
meteg,6,munah,123,0.04564007,genesis,explore_k3_7_edges20,core_projected
meteg,7,pashta,93,0.03450835,genesis,explore_k3_7_edges20,core_projected
meteg,8,meteg,87,0.032282,genesis,explore_k3_7_edges20,core_projected
meteg,9,mahapakh,87,0.032282,genesis,explore_k3_7_edges20,core_projected
meteg,10,revia,69,0.02560297,genesis,explore_k3_7_edges20,core_projected
